timestamp,activity,acc_x,acc_y,acc_z
1775611468075,Sitting,0.1019,1.2972,-9.6190
1775611468092,Sitting,0.0937,1.3270,-9.6153
1775611468108,Sitting,0.0998,1.3479,-9.5924
1775611468125,Sitting,0.1076,1.3562,-9.5672
1775611468142,Sitting,0.1202,1.3568,-9.5614
1775611468159,Sitting,0.1306,1.3478,-9.6002
1775611468175,Sitting,0.1311,1.3514,-9.5934
1775611468192,Sitting,0.1502,1.3629,-9.6040
1775611468209,Sitting,0.1534,1.3568,-9.5967
1775611468225,Sitting,0.1484,1.3488,-9.5991
1775611468242,Sitting,0.1477,1.3460,-9.5777
1775611468259,Sitting,0.1299,1.3427,-9.5918
1775611468276,Sitting,0.1137,1.3502,-9.5991
1775611468292,Sitting,0.1212,1.3442,-9.6054
1775611468309,Sitting,0.1164,1.3117,-9.6012
1775611468326,Sitting,0.1232,1.3035,-9.6021
1775611468342,Sitting,0.1034,1.3069,-9.6061
1775611468359,Sitting,0.1003,1.3334,-9.6072
1775611468375,Sitting,0.1058,1.3376,-9.6013
1775611468392,Sitting,0.1272,1.3620,-9.5740
1775611468408,Sitting,0.1380,1.3430,-9.5867
1775611468425,Sitting,0.1556,1.3422,-9.5936
1775611468441,Sitting,0.1556,1.3436,-9.5991
1775611468459,Sitting,0.1603,1.3482,-9.5849
1775611468476,Sitting,0.1646,1.3470,-9.5927
1775611468492,Sitting,0.1645,1.3427,-9.5883
1775611468508,Sitting,0.1420,1.3665,-9.5909
1775611468525,Sitting,0.1245,1.3734,-9.5910
1775611468542,Sitting,0.1196,1.3613,-9.6003
1775611468559,Sitting,0.1107,1.3229,-9.6084
1775611468575,Sitting,0.0947,1.3023,-9.6061
1775611468592,Sitting,0.0982,1.3065,-9.5957
1775611468609,Sitting,0.0871,1.3340,-9.5909
1775611468626,Sitting,0.1077,1.3467,-9.5783
1775611468642,Sitting,0.1098,1.3393,-9.5841
1775611468659,Sitting,0.1226,1.3176,-9.6189
1775611468675,Sitting,0.1260,1.3122,-9.6189
1775611468692,Sitting,0.1411,1.3176,-9.6147
1775611468708,Sitting,0.1405,1.3509,-9.5940
1775611468725,Sitting,0.1345,1.3734,-9.5636
1775611468742,Sitting,0.1369,1.3639,-9.5609
1775611468759,Sitting,0.1417,1.3449,-9.5840
1775611468775,Sitting,0.1254,1.3496,-9.6114
1775611468792,Sitting,0.1309,1.3408,-9.6286
1775611468808,Sitting,0.1429,1.3412,-9.6190
1775611468824,Sitting,0.1300,1.3487,-9.5913
1775611468842,Sitting,0.1332,1.3385,-9.5844
1775611468859,Sitting,0.1053,1.3238,-9.5767
1775611468875,Sitting,0.1088,1.3318,-9.5867
1775611468892,Sitting,0.1208,1.3391,-9.5946
1775611468909,Sitting,0.1272,1.3427,-9.6162
1775611468925,Sitting,0.1264,1.3385,-9.5858
1775611468942,Sitting,0.1130,1.3502,-9.5820
1775611468959,Sitting,0.1097,1.3487,-9.5796
1775611468975,Sitting,0.1112,1.3425,-9.5750
1775611468992,Sitting,0.1232,1.3357,-9.6193
1775611469008,Sitting,0.1208,1.3367,-9.6135
1775611469025,Sitting,0.1248,1.3375,-9.5871
1775611469042,Sitting,0.1110,1.3431,-9.5717
1775611469059,Sitting,0.1094,1.3526,-9.5844
1775611469076,Sitting,0.1246,1.3370,-9.5960
1775611469092,Sitting,0.1230,1.3403,-9.6154
1775611469109,Sitting,0.1254,1.3337,-9.6075
1775611469126,Sitting,0.1101,1.3381,-9.6048
1775611469142,Sitting,0.1065,1.3449,-9.5752
1775611469159,Sitting,0.1082,1.3455,-9.5698
