timestamp,activity,acc_x,acc_y,acc_z
1775717717940,Laying,-0.2000,0.7000,9.7000
1775717717955,Laying,0.0000,0.5000,9.8000
1775717717972,Laying,0.0000,0.5000,9.8000
1775717717989,Laying,-0.2000,0.5000,10.0000
1775717718005,Laying,-0.3000,0.5000,9.9000
1775717718022,Laying,-0.2000,0.6000,9.9000
1775717718039,Laying,-0.2000,0.6000,9.7000
1775717718055,Laying,-0.1000,0.6000,9.7000
1775717718072,Laying,0.0000,0.6000,9.8000
1775717718089,Laying,0.0000,0.5000,9.9000
1775717718105,Laying,-0.2000,0.5000,10.0000
1775717718122,Laying,-0.3000,0.5000,9.9000
1775717718139,Laying,-0.3000,0.6000,9.7000
1775717718155,Laying,-0.2000,0.7000,9.6000
1775717718172,Laying,-0.1000,0.7000,9.7000
1775717718189,Laying,0.0000,0.5000,9.8000
1775717718205,Laying,-0.1000,0.5000,9.9000
1775717718222,Laying,-0.2000,0.5000,9.9000
1775717718239,Laying,-0.2000,0.7000,9.8000
1775717718255,Laying,-0.2000,0.7000,9.7000
1775717718272,Laying,-0.1000,0.7000,9.7000
1775717718289,Laying,-0.1000,0.7000,9.8000
1775717718305,Laying,-0.1000,0.6000,9.8000
1775717718322,Laying,-0.2000,0.7000,9.8000
1775717718339,Laying,-0.2000,0.6000,9.7000
1775717718356,Laying,-0.3000,0.7000,9.7000
1775717718372,Laying,-0.2000,0.8000,9.7000
1775717718389,Laying,-0.2000,0.6000,9.8000
1775717718406,Laying,-0.2000,0.5000,9.8000
1775717718422,Laying,-0.1000,1.2000,8.6000
1775717718439,Laying,-0.1000,1.7000,10.1000
1775717718455,Laying,0.3000,1.1000,9.7000
1775717718472,Laying,-0.4000,-0.3000,10.4000
1775717718489,Laying,-0.9000,0.1000,10.7000
1775717718506,Laying,-1.2000,0.3000,10.3000
1775717718522,Laying,-1.1000,0.2000,9.8000
1775717718539,Laying,-0.8000,0.0000,9.5000
1775717718556,Laying,-0.6000,0.1000,9.6000
1775717718573,Laying,-0.5000,0.4000,10.1000
1775717718589,Laying,-0.5000,0.4000,10.1000
1775717718610,Laying,-0.7000,0.8000,9.8000
1775717718622,Laying,-0.7000,0.8000,9.6000
1775717718639,Laying,-0.6000,0.6000,9.6000
1775717718656,Laying,-0.4000,0.5000,9.6000
1775717718672,Laying,-0.3000,0.4000,9.8000
1775717718689,Laying,-0.5000,0.5000,10.1000
1775717718706,Laying,-0.6000,0.6000,9.9000
1775717718722,Laying,-0.4000,0.2000,10.4000
1775717718739,Laying,-0.4000,0.6000,9.5000
1775717718755,Laying,-0.2000,0.4000,8.9000
1775717718772,Laying,-0.2000,0.2000,9.3000
1775717718789,Laying,-0.3000,0.2000,10.1000
1775717718806,Laying,-0.3000,0.2000,10.1000
1775717718822,Laying,-0.4000,0.4000,10.0000
1775717718839,Laying,-0.4000,0.6000,9.9000
1775717718856,Laying,-0.2000,0.6000,9.7000
1775717718872,Laying,-0.1000,0.5000,9.6000
1775717718889,Laying,-0.4000,0.3000,9.7000
1775717718906,Laying,-0.6000,0.4000,9.8000
1775717718922,Laying,-0.5000,0.3000,10.1000
